Dimension,TagSet,hasSynonym,Definition,hasUnit,hasAbbreviation,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion
MeasurementProperty>HVAC>AHU,Fan Air Flow,,,,,,,Jason,,,
MeasurementProperty>HVAC>AHU,Filter Differential Pressure,,,,,,,Bharath,,,
MeasurementProperty>HVAC>AHU,Heat Wheel Differential Pressure,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Heat Wheel Speed,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Heat Wheel Supply Air Temperature,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Heat Wheel Voltage,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Outside Air CO2,,,,,,,Jason,,,
MeasurementProperty>HVAC>AHU,Outside Air Dewpoint,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Outside Air Enthalpy,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Outside Air Flow,,,,,,,Jason,,,
MeasurementProperty>HVAC>AHU,Outside Air Grains,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Outside Air Humidity,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Outside Air Temperature,,@ inlet of the AHU,,,,,Marco,,,
MeasurementProperty>HVAC>AHU,Preheat Supply Air Temperature,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Return Air CO2,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Return Air Dewpoint,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Return Air Enthalpy,,,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Return Air Flow,,,,,,,Jason,,,
MeasurementProperty>HVAC>AHU,Return Air Grains,,Number of Grains of Water Per Pound of Air. Calculated as a function of temperature and humidity.,,,,,Josh,,,
MeasurementProperty>HVAC>AHU,Return Air Humidity,,,,,,,,,,
MeasurementProperty>HVAC>AHU,Return Fan Air Flow,,Air flow measurements specific to a fan,,,,,Bharath,,,
MeasurementProperty>HVAC>AHU,Static Pressure,,Static Pressure in the supply duct,,,,,Marco,,,
MeasurementProperty>HVAC>AHU,Supply Fan Air Flow,,,,,,,Bharath,,,
MeasurementProperty>HVAC>AHU,Supply Fan Piezoelectric,,,,,,,,,,
MeasurementProperty>HVAC>CRAC,CRAC Temperature,,,,,,,Jason,,,
MeasurementProperty>HVAC>Exhaust,Exhaust Air Flow,,,,,,,Jason,,,
MeasurementProperty>HVAC>Exhaust,Exhaust Air Stack Flow,,,,,,,Bharath,,,
MeasurementProperty>HVAC>Exhaust,Exhaust Air Temperature,,,,,,,Jason,,,
MeasurementProperty>HVAC>Exhaust,Exhaust Air Velocity Pressure,,,,,,,Bharath,,,
MeasurementProperty>HVAC>Exhaust,Exhaust Fan Piezoelectric,,Piezoelectric meter of Exhaust Fan,,,,,Josh,,,
MeasurementProperty>HVAC>VAV,Booster Fan Air Flow,,,,,,,,,,
MeasurementProperty>HVAC>VAV,Damper Position,,,,,O,X,Jason,,,
MeasurementProperty>HVAC>VAV,Discharge Air Flow,Supply Air Flow,,,,,,,,,
MeasurementProperty>HVAC>VAV,Discharge Air Velocity Pressure,Supply Air Velocity Pressure,,,,,,Bharath,,,
MeasurementProperty>HVAC>VAV,Room Temperature,,,,,,,,,,
MeasurementProperty>HVAC>VAV,Zone Temperature,,Temperature sensor in the thermostat to measure the actual zone temperature,,,,,,,,
MeasurementProperty>HVAC>VFD,DC Bus Voltage,,Voltage measured on the communication/control lines,,,O,X,Bharath,,,
MeasurementProperty>HVAC>VFD,Drive Temperature,,Measures VFD temperature,,,O,X,Bharath,,,
MeasurementProperty>HVAC>VFD,Energy,,,,,O,X,Bharath,,,
MeasurementProperty>HVAC>VFD,Motor Current,Load Current,Measured current,,,O,X,Bharath,,,
MeasurementProperty>HVAC>VFD,Motor Power,,,,,,,Bharath,,,
MeasurementProperty>HVAC>VFD,Motor Speed,,,,,,,Jason,,,
MeasurementProperty>HVAC>VFD,Motor Torque,,Measured torque,,,O,X,Bharath,,,
MeasurementProperty>HVAC>VFD,Output Frequency,,,,,,,Bharath,,,
MeasurementProperty>HVAC>VFD,Output Voltage,VFD Voltage,,,,,,Bharath,,,
MeasurementProperty>HVAC>VFD,Run Time,Running Hour,,,,,,,,,
MeasurementProperty>Laboratory,Cold Box Temperature,,,,,,,Bharath,,,
MeasurementProperty>Laboratory,Environment Box Temperature,,,,,,,Bharath,,,
MeasurementProperty>Laboratory,Freezer Temperature,,,,,,,Bharath,,,
MeasurementProperty>Laboratory,Hot Box Temperature,,,,,,,Bharath,,,
MeasurementProperty>Thermal Energy Storage,Thermal Energy,,,,,,,Jason,,,
MeasurementProperty>Water,Chilled Water Differential Pressure,,,,,,,Jason,,,
MeasurementProperty>Water,Chilled Water Discharge Temperature,Chilled Water Supply Temperature,,,,,,Jason,,,
MeasurementProperty>Water,Chilled Water Return Temperature,,,,,O,X,Jason,,,
MeasurementProperty>Water,Chilled Water Supply Flow,,,,,,,Bharath,,,
MeasurementProperty>Water,Chilled Water Temperature Differential Pressure,,Difference between supply and return temperature,,,,,Bharath,,,
MeasurementProperty>Water,Deionised Water Conductivity,,,,,,,Bharath,,,
MeasurementProperty>Water,Domestic Hot Water Supply Temperature,,,,,,,Bharath,,,
MeasurementProperty>Water,Heat Exchanger Supply Water Temperature,,,,,,,Bharath,,,
MeasurementProperty>Water,High Temperature Hot Water Return Temperature,,,,,,,,,,
MeasurementProperty>Water,High Temperature Hot Water Supply Temperature,,,,,,,,,,
MeasurementProperty>Water,Hot Water Differential Pressure,,,,,,,Jason,,,
MeasurementProperty>Water,Hot Water Supply Temperature,,,,,,,Jason,,,
MeasurementProperty>Water,Hot Water Return Temperature,,,,,,,Jason,,,
MeasurementProperty>Water,Medium Temperature Hot Water Return Temperature,,,,,,,Jason,,,
MeasurementProperty>Water,Medium Temperature Hot Water Supply Temperature,,,,,,,Jason,,,
MeasurementProperty>Water,Medium Temperature Water Pressure,,,,,,,,,,
MeasurementProperty>Water,Water Supply Temperature,,,,,,,Jason,,,
MeasurementProperty>Weather,Outside Enthalpy,,,,,,,Bharath,,,
MeasurementProperty>Weather,Relative Humidity,,,,,,,Bharath,,,
MeasurementProperty>Weather,Solar Radiance,,,,,,,Jason,,,
MeasurementProperty>Weather,Wind Direction,,,,,,,Jason,,,
MeasurementProperty>Weather,Wind Speed,,,,,,,Jason,,,
Point>Alarm>Energy>Generator,Emergency Generator Alarm,,,,,,,Bharath,,,
Point>Alarm>Fume Hood,Fume Hood Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>AHU,CO2 High Alarm,,,,,,,,,,
Point>Alarm>HVAC>AHU,Change Filter Alarm,,Alarm to change dirty filter,,,,,Bharath,,,
Point>Alarm>HVAC>AHU,Condensate Leak Alarm,,,,,,,Jason,,,
Point>Alarm>HVAC>AHU,Discharge Air Smoke Detected Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>AHU,Discharge Air Temperature High Limit Alarm,Supply Air Temperature High Limit Alarm,,,,,,,,,
Point>Alarm>HVAC>AHU,Return Air Temperature High Limit Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Compressor Overload Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Air Flow Loss Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Alarm Delay Setpoint,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Communication Loss Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Condensate Leak Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Emergency Power Loss Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Fan Overload Alarm,,,,,,,Bharath,,,Also part of CRAC
Point>Alarm>HVAC>CRAC,High Head Pressure Alarm,,,,,,,Jason,,,
Point>Alarm>HVAC>CRAC,High Humidity Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,High Humidity Alarm Setpoint,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,High Temperature Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,High Temperature Alarm Setpoint,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Humidifier Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Humidifier Panel No Water Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Liquid Detected Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Low Humidity Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Low Humidity Alarm Setpoint,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Low Suction Pressure Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Low Temperature Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Low Temperature Alarm Setpoint,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Power Loss Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Short Cycle Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Smoke Detected Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Unit Failed Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>CRAC,Water Loss Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>HWS>Pump,Hot Water Pump Alarm,,,,,,,,,,
Point>Alarm>HVAC>VFD,Maintenance Required Alarm,,,,,,,Bharath,,,
Point>Alarm>HVAC>VFD,VFD Alarm,,,,,,,Bharath,,,
Point>Alarm>Lighting,Luminance Alarm,,,,,,,,,,
Point>Alarm>Water,Alarm Delay Setpoint,,,,,,,Bharath,,,
Point>Alarm>Water,Deionised Water Alarm,DI Water Alarm,,,,,,Bharath,,,
Point>Alarm>Water>Pump,Pump Alarm,,,,,,,,,,
Point>Command,Start Stop Command,,,,,,,,,,
Point>Command>Energy>Demand Response,Load Shed Command,,,,,,,Bharath,,,
Point>Command>Energy>Demand Response,Standby Load Shed Command,Standby Load Shed Switch,,,,,,Bharath,,,
Point>Command>Energy>Demand Response,Unoccupied Load Shed Command,Unoccupied Load Shed Switch,,,,,,Bharath,,,
Point>Command>Energy>Demand Response,Zone Standby Load Shed Command,,,,,,,Bharath,,,
Point>Command>Energy>Demand Response,Zone Unoccupied Load Shed Command,,,,,,,Bharath,,,
Point>Command>HVAC,Enable Command,,,,,,,,,,
Point>Command>HVAC,Highest Zone Cooling Command,,,,,,,,,,
Point>Command>HVAC>AHU,AHU Fire Control Panel Off Command,,,,,,,Bharath,,,
Point>Command>HVAC>AHU,AHU Fire Control Panel On Command,,,,,,,Bharath,,,
Point>Command>HVAC>AHU,AHU System Enable Command,,,,,,,Bharath,,,
Point>Command>HVAC>AHU,Economizer Damper Command,,,,,,,Jason,,,"(Maybe synonymous to Economizer Mode?, Jason)"
Point>Command>HVAC>AHU,Mixed Air Damper Position Command,,,,,,,Josh,,,
Point>Command>HVAC>AHU,Outside Air Damper Position Command,,,,,,,Josh,,,
Point>Command>HVAC>AHU,Return Air Preheat Valve Command,,,,,,,Josh,,,
Point>Command>HVAC>AHU,Return Fan Start Stop Command,Return Fan Command,,,,,,Jason,,,
Point>Command>HVAC>AHU,Run Request Command,,Request to have AHU turn on,,,,,Josh,,,
Point>Command>HVAC>AHU,Supply Fan Start Stop Command,Supply Fan Command,,,,,,Jason,,,
Point>Command>HVAC>AHU,System Shutdown Command,Shutdown Command,,,,,,Bharath,,,
Point>Command>HVAC>AHU,Supply Fan VFD Command,,AHU commands its supply fans to run at specified % of its capacity,,,,,,,,
Point>Command>HVAC>AHU,Return Fan VFD Command,,AHU commands its return fans to run at specified % of its capacity,,,,,,,,
Point>Command>HVAC>AHU,Automatic Mode Command,,,,,,,,,,
Point>Command>HVAC>AHU,Return Heat Valve Command,,,,,,,,,,
Point>Command>HVAC>CRAC,CRAC Pump Start Stop Command,,,,,,,Bharath,,,
Point>Command>HVAC>CRAC,Emergency Power Off Command,Emergency Power Off Switch Command,,,,,,Bharath,,,
Point>Command>HVAC>CRAC,Humidify Command,,,,,,,Josh,,,
Point>Command>HVAC>CRAC,Unit Run Command,,,,,,,Bharath,,,
Point>Command>HVAC>CWS,Chilled Water Pump VFD Command,,,,,,,,,,
Point>Command>HVAC>CWS,Chilled Water Bypass Valve Command,,,,,,,Bharath,,,
Point>Command>HVAC>CWS,Chilled Water System Enable Command,,,,,O,,Jason,,,
Point>Command>HVAC>CWS,Chilled Water Pump Command,,,,,,,Jason,,,
Point>Command>HVAC>CWS>Pump,Chilled Water Pump Lead Lag Command,,,,,,,,,,
Point>Command>HVAC>CWS>Pump,Chilled Water Pump Start Stop Command,,,,,O,X,Jason,,,
Point>Command>HVAC>Exhaust,Building Exhaust Fans Stage Command,,Exhaust fans are typically arranged so that they can be fired in stages as per requirement. This command controls which stage is switched on,,,,,Bharath,,,
Point>Command>HVAC>Exhaust,Exhaust Bypass Damper Command,,,,,,,Bharath,,,
Point>Command>HVAC>Exhaust,Exhaust Fan Enable Command,,Enable switch for one particular exhaust fan,,,,,Bharath,,,
Point>Command>HVAC>Exhaust,Exhaust Fan Fire Control Panel Off Command,,,,,,,Bharath,,,
Point>Command>HVAC>Exhaust,Exhaust Fan Fire Control Panel On Command,,,,,,,Bharath,,,
Point>Command>HVAC>Exhaust,Exhaust Fan Start Stop Command,Exhaust Fan Command,,,,,,Bharath,,,
Point>Command>HVAC>Exhaust,Exhaust Fan System Enable Command,,Enable switch for a collection of exhaust fans,,,,,Bharath,,,
Point>Command>HVAC>HWS>Heat Exchanger,Hot Water Pump VFD Command,,,,,,,,,,
Point>Command>HVAC>HWS>Heat Exchanger,Hot Water System Enable Command,,,,,,,Jason,,,
Point>Command>HVAC>HWS>Heat Exchanger,Shutdown Hot Water When Unoccupied Command,,,,,,,Bharath,,,
Point>Command>HVAC>HWS>Heat Exchanger,Heat Exchanger Valve Command,,,,,,,Bharath,,,
Point>Command>HVAC>HWS>Pump,Hot Water Pump Lead Lag Command,,,,,,,,,,
Point>Command>HVAC>HWS>Pump,Hot Water Pump Start Stop Command,,,,,,,Jason,,,
Point>Command>HVAC>VAV,Booster Fan Start Stop Command,Booster Fan Command,,,,O,X,Jason,,,
Point>Command>HVAC>VAV,Cooling Command,,,,,O,X,Jason,,,
Point>Command>HVAC>VAV,Damper Command,,,,,O,X,Jason,,,
Point>Command>HVAC>VAV,Discharge Air Flow Command,,,,,,,Josh,,,
Point>Command>HVAC>VAV,Heating Command,,,,,O,X,Jason,,,
Point>Command>HVAC>VAV,Heating Valve Command,,,,,O,X,Jason,,,
Point>Command>HVAC>VAV,Occupancy Command,Occupied Command,,,,O,X,Jason,,,
Point>Command>HVAC>VAV,Reheat Valve Command,,,,,O,X,Jason,,,
Point>Command>HVAC>VAV,VAV Box Mode Command,,,,,,,Bharath,,,
Point>Command>HVAC>VFD,Cooling Valve Command,,Can also be part of CRAC,,,O,X,Jason,,,
Point>Command>HVAC>VFD,Fault Reset Command,,Command to reset fault status after fixed by operator,,,,,Bharath,,,
Point>Command>HVAC>VFD,Filter Reset Command,,Command to reset the filter status,,,O,X,Bharath,,,
Point>Command>HVAC>VFD,Frequency Command,,,,,,,Bharath,,,
Point>Command>HVAC>VFD,Maintenance Mode Command,,,,,,,Jason,,,
Point>Command>HVAC>VFD,Max Frequency Command,,,,,,,Bharath,,,
Point>Command>HVAC>VFD,Panel Lockout Command,,,,,O,X,Bharath,,,
Point>Command>HVAC>VFD,Run Direction Command,Motor Direction Command,Command to change VFD direction,,,O,X,Bharath,,,
Point>Command>HVAC>VFD,Run Enable Command,"VFD Run Enable,Run Enable Command",A command that allows VFD to be used,,,O,X,Bharath,,,
Point>Command>HVAC>VFD,Speed Command,,,,,,,Bharath,,,
Point>Command>HVAC>VFD,System Enable Command,,A group of VFDs being enabled or disabled,,,,,Bharath,,,
Point>Command>HVAC>VFD,VFD Command,,Tells the VFD to run at certain % of its capacity,,,,,,,,
Point>Command>HVAC>VFD,VFD Start Stop Command,Motor Start Stop Command,Command to turn on/off VFD,,,O,X,Bharath,,,
Point>Command>Lighting,Luminance Command,,,,,,,,,,
Point>Command>Water,Perimeter Heating Valve Command,,,,,,,Josh,,,
Point>Command>Water,Valve Command,,,,,,,,,,
Point>Command>Water>DHWS,Domestic Hot Water System Enable Command,,,,,,,Bharath,,,
Point>Command>Water>DHWS,Domestic Hot Water System Start Stop Command,,,,,,,Bharath,,,
Point>Command>Water>DHWS,Domestic Hot Water Valve Command,,,,,,,Bharath,,,
Point>Command>Water>Pump,Pump Lead Lag Command,Pump Lead On Off,,,,,,,,,
Point>Command>Water>Pump,Pump Start Stop Command,,,,,,,Jason,,,
Point>Humidity>HVAC>CRAC,CRAC Capacity Setpoint,,,,,,,Josh,,,
Point>Humidity>HVAC>CRAC,Humidity Setpoint,,,,,,,Bharath,,,
Point>Humidity>HVAC>CRAC,Humidity Tolerance Setpoint,,,,,,,Jason,,,
Point>Humidity>HVAC>CRAC,Temperature Setpoint,,,,,,,Bharath,,,
Point>Humidity>HVAC>CRAC,Temperature Tolerance Setpoint,,,,,,,Bharath,,,
Point>Meter>Energy>Power,Power Meter,,,,,,,Jason,,,
Point>Meter>HVAC>HWS,Hot Water Flow Meter,,,,,,,,,,
Point>Meter>Steam,Current Usage Meter,,,,,,,Josh,,,
Point>Meter>Steam,Monthly Usage Meter,,,,,,,Josh,,,
Point>Meter>Steam,Peak Energy Today Meter,,,,,,,Josh,,,
Point>Meter>Steam,Usage Today Meter,,,,,,,Josh,,,
Point>Meter>Steam,Yearly Usage Meter,,,,,,,Josh,,,
Point>Meter>Water,Water Meter,,,,,,,,,,
Point>Meter>Water>HWS,Hot Water Meter,,,,,,,,,,
Point>Sensor>Energy>Solar,Battery Voltage Sensor,,,,,,,Bharath,,,
Point>Sensor>Energy>Solar,Photovoltaic Current Output Sensor,,,,,,,Bharath,,,
Point>Sensor>Energy>Solar,Solar Azimuth Angle Sensor,,,,,,,Bharath,,,
Point>Sensor>Energy>Solar,Solar Zenith Angle Sensor,,,,,,,Bharath,,,
Point>Sensor>Fume Hood,Fume Hood Air Flow Sensor,,,,,,,Bharath,,,
Point>Sensor>Fume Hood,Fume Hood Sash Position Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC,Average Cooling Demand Sensor,,Average of cooling demand across thermal zones. This could be for one AHU or one floor or entire building,,,,,Bharath,,,
Point>Sensor>HVAC,Average Supply Air Flow Sensor,,"Average of supply air to thermal zones. Granurality: AHU, floor, building",,,,,Bharath,,,
Point>Sensor>HVAC,Average Zone Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC,Highest Zone Temperature Sensor,Warmest Zone Temperature Sensor,,,,,,Bharath,,,
Point>Sensor>HVAC,Lowest Zone Temperature Sensor,Coldest Zone Temperature Sensor,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Discharge Air Temperature Sensor,Supply Air Temperature Sensor,,,,,,Jason,,,Supply Air Temperature
Point>Sensor>HVAC>AHU,Outside Air Dewpoint Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Outside Air Enthalpy Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Outside Air Flow Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Outside Air Grains Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Outside Air Humidity Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Outside Air Temperature Sensor,,@ inlet of the AHU,,,,,Marco,,,
Point>Sensor>HVAC>AHU,Preheat Supply Air Temperature Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Return Air CO2 Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Return Air Dewpoint Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Return Air Enthalpy Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Return Air Flow Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Return Air Grains Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Return Air Humidity Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Return Fan Air Flow Sensor,,Air flow measurements specific to a fan,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Static Pressure Sensor,,Static Pressure in the supply duct,,,,,Marco,,,
Point>Sensor>HVAC>AHU,Building Static Pressure Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Bypass Air Flow Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,CO2 Differential Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Discharge Air Flow Demand Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU,Discharge Air Flow Reset High Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Discharge Air Flow Reset Low Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Discharge Air Static Pressure Sensor,Supply Air Static Pressure Sensor,,,,,,,,,
Point>Sensor>HVAC>AHU,Highest Floor Demand Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Low Outside Air Temperature Enable Differential Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Min Discharge Air Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Mixed Air Damper Position Sensor,Bypass Damper Position Sensor,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Trace Heat Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Mixed Air Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Outside Air CO2 Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Outside Air Damper Position Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Outside Air Dewpoint Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Outside Air Enthalpy Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Outside Air Flow Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Outside Air Humidity Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Outside Air Lockout Temperature Differential Sensor,,Difference between measured temperature and lockout setpoint,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Outside Air Temperature Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Return Air CO2 Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Return Air Dewpoint Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Return Air Enthalpy Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Return Air Flow Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Return Air Humidity Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Return Air Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>AHU,Static Pressure Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Underfloor Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU,Frost Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU,Return Fan Differential Speed Sensor,,,,,,,,,,
Point>Sensor>HVAC>AHU>Heat Wheel,Heat Wheel Differential Pressure Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU>Heat Wheel,Heat Wheel Speed Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU>Heat Wheel,Heat Wheel Supply Air Temperature Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>AHU>Heat Wheel,Heat Wheel Voltage Sensor,,,,,,,Josh,,,
