bas_raw,haystack
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8200/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Corridor 8800/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8002 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8003 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8003 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8005 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8006 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8007 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8008 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8009 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8010 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8011 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8013 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Max CO2 Level","max co2"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8014 Open Project/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8015 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8017 Office/ZTMP HI","zone air temp max"
